,Time,LBA,PBA,Ops,Zone-idx,WA_1,WA_2
184,363.263694,3718,6910,w,0,6392,7416.
185,363.263875,12281,22313,w,0,21787,22811.
186,363.264058,25556,46076,w,0,45508,46532.
187,363.264241,36481,129,w,0,-1,-1
188,363.264273,27004,48892,w,0,48375,49399.
189,363.264452,34815,63087,w,0,62598,63622.
190,363.264632,4157,7805,w,0,7313,8337.
191,363.264811,28730,51986,w,0,51464,52488.
192,363.264990,4040,7688,w,0,7219,8243.
193,363.265924,42419,13451,w,0,-1,-1
194,363.265958,52039,34999,w,0,-1,-1
195,363.266001,50986,32810,w,0,-1,-1
196,363.266098,26770,48658,w,0,48187,49211.
197,363.266344,65089,64521,w,0,-1,-1
198,363.266397,20401,36817,w,0,36258,37282.
199,363.266580,35892,65076,w,0,64598,-1.
200,363.266702,58838,50318,w,0,-1,-1
201,363.266749,11602,21178,w,0,20674,21698.
202,363.266932,58760,50240,w,0,-1,-1
203,363.266965,47311,24591,w,0,-1,-1
204,363.267017,22989,41685,w,0,41175,42199.
205,363.267203,6564,12036,w,0,11517,12541.
206,363.267386,54550,40350,w,0,-1,-1
207,363.267418,43058,14658,w,0,-1,-1
208,363.267462,23891,43499,w,0,43036,44060.
209,363.267645,13457,24401,w,0,23867,24891.
210,363.267836,61073,55393,w,0,-1,-1
211,363.267883,46482,22626,w,0,-1,-1
212,363.267931,13680,25080,w,0,24614,25638.
213,363.268124,36863,1079,w,0,-1,-1
214,363.268160,62938,59530,w,0,-1,-1
215,363.268201,47300,24580,w,0,-1,-1
216,363.268253,25093,45613,w,0,45137,46161.
217,363.268436,61829,56717,w,0,-1,-1
218,363.268491,5553,10113,w,0,9570,10594.
219,363.268683,50659,31915,w,0,-1,-1
220,363.268731,15230,27542,w,0,26994,28018.
221,363.268923,42502,13534,w,0,-1,-1
222,363.268967,57623,47399,w,0,-1,-1
223,363.269008,64187,62483,w,0,-1,-1
224,363.269054,38385,4305,w,0,-1,-1
225,363.269112,38815,5303,w,0,-1,-1
226,363.269156,64456,62752,w,0,-1,-1
227,363.269207,6903,12831,w,0,12357,13381.
228,363.269392,63706,60866,w,0,-1,-1
229,363.269444,51813,34205,w,0,-1,-1
230,363.269491,26903,48791,w,0,48294,49318.
231,363.269682,28378,51178,w,0,50614,51638.
232,363.269872,41328,10656,w,0,-1,-1
233,363.269916,60756,54508,w,0,-1,-1
234,363.269960,6229,11245,w,0,10680,11704.
235,363.270173,14404,26260,w,0,25763,26787.
236,363.270369,6405,11877,w,0,11390,12414.
237,363.270561,58861,50341,w,0,-1,-1
238,363.270608,38761,5249,w,0,-1,-1
239,363.270655,23470,42622,w,0,42130,43154.
240,363.270841,4712,8816,w,0,8326,9350.
241,363.271025,8777,16073,w,0,15566,16590.
242,363.271219,31920,57912,w,0,57433,58457.
243,363.271400,49797,29917,w,0,-1,-1
244,363.271447,1758,3582,w,0,3115,4139.
245,363.271639,19538,35498,w,0,34997,36021.
246,363.271824,7625,14009,w,0,13505,14529.
247,363.272007,28934,52190,w,0,51628,52652.
248,363.272229,17503,31639,w,0,31091,32115.
249,363.272421,9369,17121,w,0,16609,17633.
250,363.272604,6897,12825,w,0,12353,13377.
251,363.272787,51050,32874,w,0,-1,-1
252,363.272820,41843,12307,w,0,-1,-1
253,363.272872,36312,65496,w,0,64935,-1.
254,363.272996,32529,58977,w,0,58490,59514.
255,363.273188,35655,64383,w,0,63840,64864.
256,363.273373,56949,46157,w,0,-1,-1
257,363.273421,55104,42040,w,0,-1,-1
258,363.273465,26509,47941,w,0,47409,48433.
259,363.273649,8667,15963,w,0,15478,16502.
260,363.273839,32750,59198,w,0,58668,59692.
261,363.274026,17165,31301,w,0,30820,31844.
262,363.274218,8794,16090,w,0,15579,16603.
263,363.274401,8906,16202,w,0,15669,16693.
264,363.274582,58236,48580,w,0,-1,-1
265,363.274614,59119,50599,w,0,-1,-1
266,363.274651,57927,48271,w,0,-1,-1
267,363.274686,4311,7959,w,0,7436,8460.
268,363.274869,46374,21950,w,0,-1,-1
269,363.274901,27464,49808,w,0,49312,50336.
270,363.275094,3630,6822,w,0,6322,7346.
